IMAGE,,IMAGE_NUMBER,image_score,sym_us_flag,sym_pres_seal,sym_other_pres,cam_closeup,cam_angle,cam_blurry,bod_face_fwd,bod_profile,bod_back,bod_neutral(to unusual???),obama_head_position,obama_active_hands,bod_sit,bod_stand,bod_squat,oba_formal,oba_informal,oba_speech,oba_smile,oba_grim,oba_talk,copres_kids,copres_military,copres_advisor,copres_wrld_ldrs,copres_citizens,contxt_space_size,contxt_inside,contxt_outside,contxt_wh,contxt_alone,contxt_crowd,contxt_num_people,contxt_politic_bg,contxt_event_legib,contxt_event_formal,contxt_race_others,chief_state,chief_executive,chief_legis,chief_command,chief_diplo,chief_party,chief_citizen,img_symmetry_v,img_symmetry_h,img_complexity,img_typicality,img_contrast,img_self_sim
2014_2,,image1,0.82072727,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,,1,0,0,0,0,2,0,0,0,100,0,0,0,0,0,0,1,0.640092,0.194603,0.436236,0.651673,0.342578,-1.09376
2015_10,,image10,0.65504587,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,,1,0,?,0,0,3,1,1,0,33,0,1,1,0,0,0,0,0.282421,0.10804,0.409215,0.488471,0.315824,-1.14952
ObamaPS03,,image11,0.1999269,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,1,0,1,1,0,1,0,0,0,100,1,0,0,0,0,0,1,0.589406,0.310345,0.569819,0.425428,0.267224,-0.65394
Obama PS15,,image12,0.53631082,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,100,0,0,0,0,0,0,0,0.278798,0.847653,0.358983,-0.01907,0.309498,-1.02095
Obama PS19,,image13,0.50399129,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,1,0,1,1,0,1,1,1,0,100,1,1,0,0,0,0,0,0.188071,0.431757,0.444706,0.158702,0.158552,-0.63548
Obama PS22,,image14,0.53865699,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,0,0,100,0,0,0,0,0,0,0,0.576123,0.170508,0.708488,-0.15034,0.218376,-0.49401
Obama WH07,,image15,0.4800148,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,,1,0,0,1,0,1,1,1,1,100,1,0,0,0,0,0,0,0.48391,0.312598,0.344097,0.40325,0.189434,-0.92713
Obama WH30,,image16,0.53233467,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,,1,0,1,1,0,1,1,1,1,100,1,1,0,0,0,0,0,0.405749,0.124457,0.381709,0.547768,0.29984,-1.30047
Obama WH31,,image17,0.70331651,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,1(inside or outside stadium?),0 (inside or outside stadium),0,0,1,1,0,1,1,40,0,0,0,0,0,1,0,0.315232,0.093942,0.653185,0.074793,0.23932,-1.50968
Obama WH35,,image18,0.3662074,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,1,0,1,1,0,1,1,1,0,100,1,1,0,0,0,0,0,0.196887,0.334005,0.511118,0.460288,0.19427,-0.93696
Obama WH63,,image19,0.40770349,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,0,0,100,0,0,0,0,0,0,1,0.565106,0.738012,0.56809,0.310093,0.356611,-0.23782
2015_11,,image2,0.45667276,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,1,0,0,,1,0,1,0,0,6,1,1,0,33,0,1,0,0,0,0,0,0.374413,0.457953,0.476196,0.545605,0.32186,-0.83969
Obama WH69,,image20,0.60500184,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,,0,1,0,0,1,"16,000",0,1,1,40,0,0,0,0,0,0,1,0.739573,0.56977,0.513643,0.477256,0.361064,-0.18061
2012_05,,image3,0.3680203,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,,0,0,0,0,0,6,0,0,0,20,0,0,0,1,0,0,0,0.152276,0.117914,0.489534,0.140774,0.145735,-0.92838
2012_08,,image4,0.70904468,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,,1,0,1,0,0,4,0,0,0,100,1,0,0,0,0,0,1,0.093121,0.327434,0.539534,0.316486,0.278052,-0.50606
2013_09,,image5,0.48021583,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,,0,1,0,0,0,2,1,1,1,50,1,0,0,0,1,0,0,0.456194,0.236603,0.473811,0.521252,0.307887,-0.75508
2014_10,,image6,0.3000731,0,0,0,0,1,0,1,0,0,1,2,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,,1,0,0,0,0,3,1,0,0,33,0,1,1,0,0,0,0,0.615462,0.073375,0.414082,0.719747,0.326516,-0.67292
2014_13,,image7,0.43797195,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,,0,1,0,0,1,12,0,0,0,100,0,0,0,0,0,0,1,0.169055,0.214346,0.474561,0.102742,0.207323,-1.08133
2015_08,,image8,0.63746334,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,,1,0,0,0,1,300,0,1,1,60,1,0,0,0,0,0,0,0.328242,0.106331,0.586668,0.155134,0.220494,-0.39692
2015_09,,image9,0.26258602,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,1,25,0,0,0,16,0,0,0,0,0,0,1,0.548997,0.133237,0.492227,0.712025,0.346153,-0.91058